name,population,address,email,contact_person,title,phone,district
臺中市北屯區新興社區發展協會,"6,197 人",臺中市北屯區同榮里中清路2段1250巷158弄31-6號,pp80426@yahoo.com.tw,江麗香,理事長,(04)24210547,北屯區
臺中市北屯區東山社區發展協會,"2,344 人",臺中市北屯區東山里濁水巷37號,,邱明賢,總幹事,04-22390971,北屯區
臺中市北屯區大坑社區發展協會,"2,441 人",臺中市北屯區大坑里東山路二段137號,,林士隆,理事長,0933491525,北屯區
臺中市北屯區東光社區發展協會,"5,237 人",臺中市北屯區東光里東山路一段123巷31弄2號,went2882@gmail.com,賴文章,理事長,0910414514,北屯區
臺中市北屯區逢甲社區發展協會,"1,224 人",臺中市北屯區民政里苧園巷36-1號,,王景徽,總幹事,04-22396275,北屯區
臺中市北屯區仁美社區發展協會,"12,865 人",臺中市北屯區仁美里豐樂路11巷58號,michelle531127@yahoo.com.tw,李文玉,理事長,(04)24225280,北屯區
臺中市北屯區后庄社區發展協會,"11,618 人",臺中市北屯區后庄里后庄路680號,minjen8326@gmail.com,何宜芳,總幹事,04-24252398,北屯區
臺中市北屯區和平社區發展協會,"15,243 人",臺中市北屯區和平里和順路456號,pajero.huang@msa.hinet.net,廖萬貴,總幹事,0919838011,北屯區
臺中市北屯區廍子社區發展協會,"24,628 人",臺中市北屯區廍子里太和路2段30號,rlb05039@taichung.gov.tw,陳憶如,理事長,04-24376629,北屯區
臺中市北屯區平和社區發展協會,"6,252 人",臺中市北屯區平和里14鄰遼陽一街33號,just_bear555@yahoo.com.tw,戴佳惠,理事長,(04)22968899,北屯區
臺中市北屯區大德社區發展協會,"5,336 人",臺中市北屯區大德里雷中街123號,,張秋勝,總幹事,0933089134,北屯區
臺中市北屯區陳平社區發展協會,"5,411 人",臺中市北屯區新平里同平巷11號,bt6056@taichung.gov.tw,林家峯,理事長,0960531797,北屯區
臺中市北屯區軍功社區發展協會,"15,570 人",臺中市北屯區軍功里軍和街123號,,呂清課,總幹事,04-22465688/0933-185996,北屯區
臺中市北屯區水湳社區發展協會,"7,626 人",臺中市北屯區水湳里中清路2段68號,shuinan23@gmail.com,廖智宏,理事長,(04)22930699,北屯區
臺中市北屯區忠平社區發展協會,"4,401 人",臺中市北屯區忠平里平德路162巷23號,,許秀蓉,理事長,04-22920770,北屯區
