name,population,address,email,contact_person,title,phone,district
臺中市外埔區三崁社區發展協會,"2,156 人",臺中市外埔區三崁里9鄰二崁路333巷55號,,曾炳輝,理事長,0910479613,外埔區
臺中市外埔區土城社區發展協會,"1,712 人",臺中市外埔區土城里1鄰土城南路26號,,洪聖淵,總幹事,0933544072,外埔區
臺中市外埔區大同社區發展協會,"5,490 人",臺中市外埔區大同里30鄰甲后路三段887號,,許春楹,理事長,(04)26837959,外埔區
臺中市外埔區大東社區發展協會,"7,471 人",臺中市外埔區大東里30鄰甲東路36巷36弄8號,,蔡鴻基,理事長,0931463748,外埔區
臺中市外埔區中山社區發展協會,"1,398 人",臺中市外埔區中山里3鄰東西巷83號,,巫麗雪,理事長,(04)26831143,外埔區
臺中市外埔區六分社區發展協會,"2,603 人",臺中市外埔區六分里14鄰六分路280巷8號,,劉黃碧霞,里長,0952003411,外埔區
臺中市外埔區水美社區發展協會,"3,828 人",臺中市外埔區水美里5鄰水美路59號,,陳俊樑,理事長,(04)26879697,外埔區
臺中市外埔區永豐社區發展協會,"1,253 人",臺中市外埔區永豐里7鄰六分路90號,,洪俊義,總幹事,0963143225,外埔區
臺中市外埔區馬鳴社區發展協會,"1,538 人",臺中市外埔區馬鳴里東西巷51之2號,,顏慶慰,理事長,(04)26830802,外埔區
臺中市外埔區廍子社區發展協會,"1,283 人",臺中市外埔區廍子里4鄰土城路366號,,邱玉美,理事長,(04)26835600,外埔區
臺中市外埔區鐵山社區發展協會,"2,417 人",臺中市外埔區鐵山里16鄰長生路1066號,,董森正,總幹事,0923052111,外埔區
