name,population,address,email,contact_person,title,phone,district
臺中市大雅區大雅社區發展協會,"5,169 人",臺中市大雅區大雅里永和路222號,yah123335@yahoo.com.tw,李玲珍,理事長,(04)25694255,大雅區
臺中市大雅區上雅社區發展協會,"7,495 人",臺中市大雅區上雅里012鄰雅環路二段171巷19號,,鄧燕山,理事長,(04)25673174,大雅區
臺中市大雅區文雅社區發展協會,"7,174 人",臺中市大雅區文雅里中清路三段997巷24號2樓,,劉亦銘,理事長,0926934033,大雅區
臺中市大雅區秀山社區發展協會,"4,013 人",臺中市大雅區秀山里上山六路43號,,吳士生,理事長,(04)25691216,大雅區
臺中市大雅區橫山社區發展協會,"5,114 人",臺中市大雅區橫山里永和路8號,,張聖河,總幹事,04-25692570,大雅區
臺中市大雅區六寶社區發展協會,"7,290 人",臺中市大雅區六寶里文化路132號,,蔡安宗,理事長,(04)25663479,大雅區
臺中市大雅區西寶社區發展協會,"5,812 人",臺中市大雅區西寶里11鄰雅潭路三段600號,,劉進福,理事長,(04)25669012,大雅區
臺中市大雅區二和社區發展協會,"7,496 人",臺中市大雅區二和里雅環路1段276巷7號,,何宗翰,理事長,0932517850,大雅區
臺中市大雅區三和社區發展協會,"6,461 人",臺中市大雅區三和里春亭街9號,,賴伯川,總幹事,(04)25669901,大雅區
臺中市大雅區員林社區發展協會,"11,696 人",臺中市大雅區員林里神林路一段104巷21號,,楊麗香,總幹事,(04)25665687,大雅區
臺中市大雅區雅楓社區發展協會,"4,181 人",臺中市大雅區雅楓里8鄰神林南路115巷34號,,劉昌霖,總幹事,0913359129,大雅區
臺中市大雅區四德社區發展協會,"5,639 人",臺中市大雅區四德里15鄰中山路168巷13弄27號,,陳清江,理事長,(04)25689163,大雅區
臺中市大雅區上楓社區發展協會,"7,949 人",臺中市大雅區上楓里民族街139號,,徐坪益,理事長,(04)25671240,大雅區
臺中市大雅區忠義社區發展協會,"4,186 人",臺中市大雅區忠義里仁愛路80號,,劉中平,理事長,0935724519,大雅區
臺中市大雅區大楓社區發展協會,"6,089 人",臺中市大雅區大楓里前村東路27號,,張建欽,總幹事,0911851781,大雅區
