name,population,address,email,contact_person,title,phone,district
臺中市新社區復盛社區發展協會,"2,054 人",臺中市新社區復盛里大復街27號,,吳鳳周,理事長,04-25812095,新社區
臺中市新社區大南社區發展協會,"2,026 人",臺中市新社區大南里中和街二段264號,,許性質,總幹事,04-25812061,新社區
臺中市新社區中和社區發展協會,597 人,臺中市新社區中和里12鄰中興街223號,,林昌民,理事長,(04)25931567,新社區
臺中市新社區中興社區發展協會,630 人,臺中市新社區中興里中興嶺中興街72號,,李劉秀雲,里長,0925822868,新社區
臺中市新社區月湖社區發展協會,"1,148 人",臺中市新社區月湖里東湖街 2段68巷2弄6號,,高清源,理事長,25812229,新社區
臺中市新社區協成社區發展協會,"3,222 人",臺中市新社區協成里興義街100號,,王安田,理事長,(04)25811230,新社區
臺中市新社區東興社區發展協會,"1,334 人",臺中市新社區東興里興社街1段99號,,彭玄法,理事長,(04)25813093,新社區
臺中市新社區馬力埔社區發展協會,"3,281 人",臺中市新社區永源里中和街一段118號,,陳霜云,理事長,04-25813032,新社區
臺中市新社區崑南社區發展協會,"1,257 人",臺中市新社區崑山里崑南街55之1號,,廖銘洲,理事長,(04)25815180,新社區
臺中市新社區新社社區發展協會,"3,834 人",臺中市新社區中和街四段215號,,劉南村,理事長,(04)25811573,新社區
臺中市新社區福興社區發展協會,"1,188 人",臺中市新社區福興里美林52-9號,,劉文榮,理事長,04-25942341,新社區
臺中市新社區慶西社區發展協會,935 人,臺中市新社區慶西里11鄰上坪76-1號,,王清鴻,理事長,(04)25815516,新社區
