name,population,address,email,contact_person,title,phone,district
臺中市清水區槺榔社區發展協會,"9,762 人",臺中市清水區槺榔里仁愛路202巷3號,,蔡水城,理事長,0921781951,清水區
臺中市清水區下湳社區發展協會,"3,179 人",臺中市清水區下湳里清水區中山路440號之1,,蔡鎮國,理事長,(04)26220248,清水區
臺中市清水區中興社區發展協會,454 人,臺中市清水區中興里新興路274之1號,,蔡俊樑,總幹事,04-26228615,清水區
臺中市清水區文昌社區發展協會,764 人,臺中市清水區文昌里15鄰文昌街19號,,王師賢,理事長,04-26222595,清水區
臺中市清水區北寧社區發展協會,776 人,臺中市清水區北寧里董公街38號,,蔡增南,理事長,0931042568,清水區
臺中市清水區四塊厝社區發展協會,"1,667 人",臺中市清水區臨江里高美路409號,,洪敏哲,理事長,(04)26263583,清水區
臺中市清水區田寮社區發展協會,"2,764 人",臺中市清水區田寮里高美路196號,,張明晃,理事長,(04)26260952,清水區
臺中市清水區甲南社區發展協會,"2,547 人",臺中市清水區菁埔里臨海路19之1號,,陳寶照,總幹事,0928-179698,清水區
臺中市清水區西社社區發展協會,"2,695 人",臺中市清水區西社里中清路九段19巷15號,,楊世哲,理事長,(04)26271553,清水區
臺中市清水區西寧社區發展協會,"1,790 人",臺中市清水區西寧里董公街29之6號,,王慶源,理事長,(04)26225533,清水區
臺中市清水區吳厝社區發展協會,"1,723 人",臺中市清水區吳厝里吳厝路208號,,吳林明珠,理事長,(04)26200782,清水區
臺中市清水區秀水社區發展協會,"5,230 人",臺中市清水區秀水里中社路32之3號,,黃文喜,理事長,(04)26261397,清水區
臺中市清水區東山社區發展協會,"1,342 人",臺中市清水區東山里神清路10號,,王正宗,理事長,0932674839,清水區
臺中市清水區武鹿社區發展協會,"4,184 人",臺中市清水區武鹿里公正路222巷2弄16號,,陳志一,理事長,0930919319,清水區
臺中市清水區南社社區發展協會,"13,118 人",臺中市清水區南社里忠孝二街59號,,劉翠華,理事長,0952311725,清水區
臺中市清水區南寧社區發展協會,"2,227 人",臺中市清水區南寧里清水街8號,,蔡陳玉最,理事長,(04)26222024,清水區
臺中市清水區海風社區發展協會,"1,613 人",臺中市清水區海風里海風二街326巷11弄12號,,黃楊秀綿,理事長,04-26201002,清水區
臺中市清水區海濱社區發展協會,"2,413 人",臺中市清水區海濱里海濱路388之3號,,蔡錫堂,理事長,04-26265555,清水區
臺中市清水區高北社區發展協會,"1,291 人",臺中市清水區高北里海口北路176號,,張永鍊,理事長,04-26110180,清水區
臺中市清水區高西社區發展協會,"1,402 人",臺中市清水區高西里高美路742號,,鄭聰建,理事長,(04)26113318,清水區
臺中市清水區高東社區發展協會,"1,327 人",臺中市清水區高東里三美路228號,,陳樹林,理事長,(04)26111301,清水區
臺中市清水區高美社區發展協會,"1,473 人",臺中市清水區高美里護岸路51號,,洪樂比,總幹事,0933170474,清水區
臺中市清水區國姓社區發展協會,"2,240 人",臺中市清水區國姓里三美路147-52號,,王文玉,理事長,(04)26261627,清水區
臺中市清水區清水社區發展協會,"2,934 人",臺中市清水區清水里中山路45之2號,,高碧霜,理事長,(04)26222130,清水區
臺中市清水區頂湳社區發展協會,"1,951 人",臺中市清水區頂湳里客庄路55巷5之7號,,洪水柏,理事長,(04)26236817,清水區
臺中市清水區菁埔社區發展協會,"2,547 人",臺中市清水區菁埔里中央北路2-3號,,廖桂雄,理事長,(04)26281018,清水區
臺中市清水區楊厝社區發展協會,"1,304 人",臺中市清水區楊厝里楊厝一街65巷8號,,曾文君,理事長,0921787803,清水區
臺中市清水區橋頭社區發展協會,"9,073 人",臺中市清水區橋頭里民治東路269巷12號,,李正權,理事長,(04)26269366,清水區
臺中市清水區鰲峰社區發展協會,"1,193 人",臺中市清水區鰲峰里大街路觀音巷47號,,黃賴桂娥,理事長,(04)26226112,清水區
臺中市清水區靈泉社區發展協會,"1,065 人",臺中市清水區靈泉里學園街10號,,陳秋霖,理事長,0911182182,清水區
臺中市清水區新高南社區發展協會,"1,392 人",臺中市清水區高南里三順路88號,,施明哲,理事長,(04)26110279,清水區
臺中市清水區新中社社區發展協會,"13,118 人",臺中市清水區南社里鰲峰路373-2號,,鄭明峰,理事長,(04)26282567,清水區
