name,population,address,email,contact_person,title,phone,district
臺中市神岡區新庄社區發展協會,"4,847 人",臺中市神岡區新庄里和睦路一段360號,,林朝聰,總幹事,0963127499,神岡區
臺中市神岡區圳堵社區發展協會,"2,440 人",臺中市神岡區圳堵里和睦路一段60號,,王鴻福,理事長,0932647802,神岡區
臺中市神岡區圳前社區發展協會,"2,643 人",臺中市神岡區圳前里三民路349號,,陳木生,理事長,(04)25628885,神岡區
臺中市神岡區北庄社區發展協會,"3,017 人",臺中市神岡區北庄里中山路1244號,Szjh0008@yahoo.com.tw,楊美金,監事,0919435518,神岡區
臺中市神岡區社口社區發展協會,"9,288 人",臺中市神岡區社口里文政街160號,aal0414@gmail.com,顏鏡保,總幹事,0935050372,神岡區
臺中市神岡區大社社區發展協會,"5,136 人",臺中市神岡區大社里大漢街30巷25號7樓,,陳漢洲,總幹事,0920150239,神岡區
臺中市神岡區豐洲社區發展協會,"8,108 人",臺中市神岡區豐洲里前寮路1號,,葉玉城,理事長,0921486788,神岡區
臺中市神岡區溪洲社區發展協會,"3,166 人",臺中市神岡區溪洲里豐洲路1076號,shijou.taichung@gmail.com,王明洲,理事長,(04)25613421,神岡區
臺中市神岡區神洲社區發展協會,"2,943 人",臺中市神岡區神洲里豐洲路916巷38弄98號,,陳宏圖,理事長,(04)25298735,神岡區
臺中市神岡區神岡社區發展協會,"3,653 人",臺中市神岡區神岡里中山路1460號,,王仲志,總幹事,0931555733,神岡區
臺中市神岡區庄後社區發展協會,"2,649 人",臺中市神岡區庄後里厚生路118-10號,,林彥炤,理事長,0910522866,神岡區
臺中市神岡區山皮社區發展協會,"1,155 人",臺中市神岡區山皮里三民南路333巷22弄22號,,陳崑鎮,理事長,0918297869,神岡區
臺中市神岡區三角社區發展協會,"3,088 人",臺中市神岡區三角里三社路195號,,林琬涵,總幹事,0912-326828,神岡區
臺中市神岡區庄前社區發展協會,"2,693 人",臺中市神岡區庄前里神林路35號,,陳敦隆,總幹事,0935314206,神岡區
臺中市神岡區社南社區發展協會,"6,299 人",臺中市神岡區社南里12鄰中山路551巷41號,t555930@yahoo.com.tw,楊春福,理事長,04-25626523/0979-167720,神岡區
臺中市神岡區岸裡社區發展協會,"3,257 人",臺中市神岡區岸裡里中山路136-7號,,江世華,理事長,0910207993,神岡區
