name,population,address,email,contact_person,title,phone,district
臺中市霧峰區丁臺社區發展協會,"2,652 人",臺中市霧峰區丁臺里丁臺路444號,dingtai12345678@gmail.com,施豐碧,理事長,(04)23307933,霧峰區
臺中市霧峰區中正社區發展協會,"2,238 人",臺中市霧峰區中正里四德路112號,,陳聖尉,理事長,(04)23301933,霧峰區
臺中市霧峰區五福社區發展協會,"2,983 人",臺中市霧峰區五福里五福西路248號,green5899@yahoo.com.tw,陳慶華,理事長,(04)23339936,霧峰區
臺中市霧峰區六股社區發展協會,"2,770 人",臺中市霧峰區六股里六股路51號,abc.a580628@yahoo.com.tw,王原祥,理事長,0932580628,霧峰區
臺中市霧峰區北柳社區發展協會,"4,642 人",臺中市霧峰區北柳里四德路435巷85號,hsuyutakimo@yahoo.com.tw,林森榮,理事,(04)23308481,霧峰區
臺中市霧峰區北勢社區發展協會,"2,475 人",臺中市霧峰區北勢里丁臺路571巷7號,hung335110@gmail.com,陳裕承,理事長,0935354933,霧峰區
臺中市霧峰區四德社區發展協會,"2,876 人",臺中市霧峰區四德里四德路533號2樓,sidepro533@gmail.com,宋建立,理事長,0933187951,霧峰區
臺中市霧峰區本堂社區發展協會,"6,842 人",臺中市霧峰區本堂里中正路749號,,蔡秀梅,總幹事,0916155015,霧峰區
臺中市霧峰區本鄉社區發展協會,"2,610 人",臺中市霧峰區本鄉里中正路1055號,sunshine379678@yahoo.com.tw,林揚展,總幹事,(04)23392023,霧峰區
臺中市霧峰區甲寅社區發展協會,"5,417 人",臺中市霧峰區甲寅里民生路125巷8號,wufong.chayin@msa.hinet.net,嚴以佳,總幹事,0963505210,霧峰區
臺中市霧峰區吉峰社區發展協會,"10,556 人",臺中市霧峰區吉峰里吉峰里吉峰路157巷11號,a0928318467@gmail.com,賴昭雄,理事長,0921770669,霧峰區
臺中市霧峰區坑口社區發展協會,"3,446 人",臺中市霧峰區坑口里新生路36號,mary311197@yahoo.com.tw,羅炳輝,理事長,0936049347,霧峰區
臺中市霧峰區南柳社區發展協會,"2,275 人",臺中市霧峰區南柳里霧工一路79號,,林耀城,理事長,(04)23338936,霧峰區
臺中市霧峰區南勢社區發展協會,"1,458 人",臺中市霧峰區南勢里光明路280之3號,inndan.huang@msa.hinet.net,周正義,總幹事,0912-383751,霧峰區
臺中市霧峰區峰谷社區發展協會,"1,292 人",臺中市大里區東湖里東南路161巷38號,,湯凱宇,理事長,0927-900890,霧峰區
臺中市霧峰區桐林社區發展協會,"1,359 人",臺中市霧峰區桐林里民生路585號1樓,Alicelin5858@gmail.com,江榮富,理事長,0933542328,霧峰區
臺中市霧峰區萊園社區發展協會,"1,167 人",臺中市霧峰區萊園里萊園路57巷1號,laiyuan.wf@gmail.com,林正忠,理事長,0912302891,霧峰區
臺中市霧峰區萬豐社區發展協會,"2,999 人",臺中市霧峰區萬豐里中正路144巷14號,abc4852000@yahoo.com.tw,劉採圓,執行長,0937218046,霧峰區
臺中市霧峰區錦榮社區發展協會,"6,842 人",臺中市霧峰區錦榮里中正路908號,hyt05010@yahoo.com.tw,吳惠君,理事長,0922691956,霧峰區
臺中市霧峰區舊正社區發展協會,"2,373 人",臺中市霧峰區舊正里光明路116巷13號,s3302416@yahoo.com.tw,林綉汝,理事長,(04)23395980,霧峰區
