name,population,address,email,contact_person,title,phone,district
臺中市龍井區竹坑社區發展協會,"3,699 人",臺中市龍井區竹坑里沙田路4段272號,tfhgh168@yahoo.com.tw,黃慶華,總幹事,(04)26353427,龍井區
臺中市龍井區龍東社區發展協會,"3,479 人",臺中市龍井區龍東里7鄰茄投路63之9號,tonny820@hotmail.com,湯旺地,總幹事,0933433108,龍井區
臺中市龍井區龍西社區發展協會,"2,099 人",臺中市龍井區龍西里13鄰茄投路田尾厝9號,,陳詩蓉,總幹事,(04)26305921,龍井區
臺中市龍井區田中社區發展協會,"4,661 人",臺中市龍井區田中里5鄰龍北路130號,sinjeam@ms13.hinet.net,陳森源,理事長,(04)26399927,龍井區
臺中市龍井區福田社區發展協會,"1,180 人",臺中市龍井區福田里臨港東路二段150巷10號,tasiwun921@yahoo.com.tw,蔡政文,總幹事,(04)26396835,龍井區
臺中市龍井區麗水社區發展協會,"2,551 人",臺中市龍井區麗水里14鄰三港路水裡港巷26號,zz5168tw@yahoo.com.tw,張癸賢,理事長,(04)26393346,龍井區
臺中市龍井區龍津社區發展協會,"5,921 人",臺中市龍井區龍津里中央路1段165巷80弄40號,longjincda@gmail.com,陳敬義,總幹事,0972089205,龍井區
臺中市龍井區三德社區發展協會,"3,405 人",臺中市龍井區三德里中央路2段199號,0919038063@so-net.net.tw,徐彰廷,理事長,(04)26393338,龍井區
臺中市龍井區忠和社區發展協會,"5,836 人",臺中市龍井區忠和里11鄰高園路206號,,白金地,理事長,0928663249,龍井區
臺中市龍井區山腳社區發展協會,"6,887 人",臺中市龍井區山腳里19鄰龍山街154號,z500820@yahoo.com.tw,張大卿,總幹事,(04)26361368,龍井區
臺中市龍井區龍泉社區發展協會,"9,703 人",臺中市龍井區龍泉里21鄰沙田路5段315巷67弄168號,,陳俊宏,總幹事,0935590952,龍井區
臺中市龍井區龍崗社區發展協會,"3,365 人",臺中市龍井區龍崗里祥瑞街65巷35號,,何新添,理事長,(04)26351495,龍井區
臺中市龍井區新庄社區發展協會,"7,496 人",臺中市龍井區新庄里新興路372號,,陳一雄,理事長,(04)26313265,龍井區
臺中市龍井區南寮社區發展協會,"1,797 人",臺中市龍井區南寮里中沙路南寮巷36號,,林源隆,理事長,(04)26315128,龍井區
臺中市龍井區新東社區發展協會,"5,613 人",臺中市龍井區新東里新興路161號,l657353@yahoo.com.tw,白厚芳,理事長,0932657353,龍井區
臺中市龍井區東海社區發展協會,"10,645 人",臺中市龍井區東海里12鄰臺灣大道5段242號,lj7789@yahoo.com.tw,周棟年,理事長,(04)26913859,龍井區
